Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01/02/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Paraguay,PRY,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,"34,219269103","39,2156862745","60,6164383562","55,1159618008","56,1488673139","57,3687539532","53,6096256684","55,8823529412","36,4723467862","46,6828087167","71,1577522004","83,7853107345","73,7834549878","39,7691500525","33,1336285491","21,1295516473","21,1556829035","17,157563626","24,6694995279","28,1857976654","53,5491419657","55,1398188263","48,727687049","46,7674223342","44,4200109951","38,8530618771","34,6271194918","34,8825349931","33,7710428304","34,3586710046","32,9541686297","33,0798345272","23,9528553018","27,5285716804","45,3620388668","37,9295584984","37,0083244853","39,6486806047","35,3183068665","34,9846037227","40,7979835884",
Paraguay,PRY,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,"7,6411960133","5,0420168067","4,2808219178","3,2742155525","2,5080906149","2,0240354206","3,0748663102","1,9924098672","1,2705530643","1,1138014528","4,942450914","3,3333333333","4,9270072993","8,1147254285","7,6582443345","18,3304433986","17,8127984718","21,8758936231","17,1388101983","6,3715953307","29,2901716069","27,5305238283","28,408659324","27,7078085642","33,8097855965","37,3767521185","43,8153353674","39,207929369","45,4141005824","43,2120674357","37,2824766942","35,5033608782","29,4473117657","51,5416542423","36,0676687197","40,3577756546","43,6803105154","44,0721257708","49,38615943","47,2681753743","41,6888748482",
Paraguay,PRY,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1018058489","0,1954690967","0,8457679484","1,0625820425","0,848481008","1,0731867139","2,0955998758","1,2699837306","2,1771686972","3,5493479312","2,8467429943","2,9411953069","4,1311899353","3,232094264","5,6624207519","6,7463854585","7,1563874442","8,2907128527","6,4382598046","6,5384036378","10,9678842534","6,5901662544","7,3026813225","6,9403348253","7,5068710634","6,1333245775","5,6805926941",
Paraguay,PRY,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84511,186033,703480,1060915,1026716,1868969,3709801,2249088,3768044,4885660,3209573,4826728,6673026,4557696,9373646,13110697,16295134,24251942,23553508,27103631,37259224,31881008,43141808,44453713,57567206,55955000,47679184,
Paraguay,PRY,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,30100000,35700000,58400000,73300000,123600000,158100000,149600000,105400000,133800000,206500000,147700000,177000000,164400000,285900000,383900000,403700000,418800000,349700000,423600000,411200000,256400000,253900000,263300000,238200000,181900000,187630000,199930000,"178312728,740581","188327024,18893",202860000,"235175102,946486","276603560,168543","425001523,689996","397042030,617591","451258376,196463","573167757,828991","650394210,891387","667109210,107219","772120818,335081","823790951,827692","776896592,237432",
Paraguay,PRY,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,"56,146179402","53,781512605","34,7602739726","41,4733969986","41,1003236246","40,4174573055","43,3155080214","42,1252371917","62,1823617339","52,2033898305","23,8997968856","12,8813559322","21,2895377129","52,0461699895","59,1299817661","60,5400049542","61,0315186246","60,9665427509","58,1916902738","62,1595330739","6,0452418097","4,4899566759","5,5450056969","4,3240973971","8,4661902144","8,793902894","8,1028359926","12,3939553593","10,035734426","9,3660652667","18,4526335723","20,3901930856","38,6939789232","15,0613777355","12,5648637213","16,9322155118","14,7910295616","12,8764524157","12,2908225949","14,0569642994","13,8446996775",
Paraguay,PRY,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,"35,6848716297","33,9962731205","37,9371031563","30,9630072697","38,476580473","34,9579000644","26,8622895003","40,6482929971","58,6465905954","115,7058065704","110,2743397442","84,7860495077","75,521648109","83,4197570627","93,9579690807","91,7785561846","99,1764310436","109,1777213329","103,5273081509","91,4969272557",100,"107,1102045807","105,8503142401","117,4740398384","130,6518891117","143,2927990666","157,8284660858","214,6999336374","291,2207047927","230,8821565018","295,6618226579","352,8495376188","331,0226824778","429,8164622654","437,9774998127","380,0377694454",
Paraguay,PRY,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,"0,2965379198","0,2216644392","0,3227059491","0,9853442484","0,2672238854","0,2478314746","0,820037256","1,2432656444","1,0830476751","1,6920872348","4,2422169004","3,5769638007","3,2568072611","3,6379531689","4,9669283733","5,1095426313","7,5997888184","6,2277471611","8,5424359269","10,6621317608","14,511687893","20,1090723134","25,8189712678","22,0896021398","16,3934769536","22,430268595","42,0733402411","22,4656117273","26,5609724203","34,7099681702","33,7675790971","27,0466775691","26,8714109201","30,5401722439","40,9525919959","46,527129658","52,8515992643","38,8286606151","29,2169262315","27,5177053035","42,8903425387","62,14145478","65,8024950044","58,6098251564","49,3188301993","50,8435039465","50,2051271035","48,2467524948","39,4085512321","48,5547238726","39,5978367922","38,4605075559","45,5298972391","37,4691342923","36,1606566249",,
Paraguay,PRY,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,26978000,30677000,33467000,40189000,49771000,57297000,49388000,48260000,47551000,50943000,64306000,65167000,86158000,126967000,169783000,177100000,181834000,278897000,257011000,300484000,310150000,297234000,329804000,269190000,334261000,325248000,237414000,382834000,562061500,1129445000,1062839000,791258000,707354000,768329000,816803000,919326000,1044449000,"1400160650,602","1263966908,401","1014412045,561",869357305,2356518656,2328799961,2584499638,2874456410,3153879020,3469819384,4698301709,6379977379,5060453820,6504841142,7763502475,7271180628,9430897478,9651772290,,
Paraguay,PRY,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,"13,2404181185","16,4977018613","17,8504198165","18,1467565752","16,837113982","15,1089934901","10,7779217624","8,1661831745","7,2343378688","9,4222955067","10,6739651043","15,1349609465","16,6217878781","18,6127103893","5,0487975828","6,2015810277","2,8564514887","4,1370111547","2,3839446561","2,5655276154","6,2115105594","4,5876312939","4,4866041649","5,1915004272","9,3720176748","12,2780155451","4,5658638496","10,726058814","13,6929855541","14,0677058201","11,9599487787","7,8991934363","9,1699488516","7,3872000146","0,9737966193","1,4376836944","0,7144436923","1,9688026505","3,9311089293","7,0778900552","2,875734736","2,768456801","3,3620252195","5,6710729166","7,4090960037","5,4191271103","4,9665163782","0,7353980894","0,1741010718","0,2144077268","0,1663577136","0,261330296","0,3990592379","0,0897939885","0,079404163",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,,,,,,,,,,,,,,,,,,,,,,,"2,0973062789","1,6326758052","3,3040049542","0,7185286305","0,8365134322","0,6013050043","1,6202853246","0,0417018978","0,0803508339","0,2490970076","0,4123819191","0,2144914483","0,2992153555","0,4272695431","0,1923502249","0,1175691076","0,2910999071","0,2897466899","0,0825236063","0,0790729153","0,114621352","0,2449037681","0,3027792305","0,436424952","0,9089341118","1,2474330009","1,2127943314","1,349877391","1,1017530396","0,6899314475","2,2592264778","0,992432239","0,7902690792",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0062825158","0,0534976387","0,0021060258","0,0023508884","0,0288224687","0,0019478593","0,06266236","0,0027803826","0,0561246561","0,0253797527","0,0471349885","0,0413346299","0,010914846","0,0599203957","0,1547498194","0,0295836843","0,1884633614","1,2320141377","0,1261274927","0,0262838497","0,1547338128","0,1231580849","0,0886159958","0,8092356208","0,9460473042","1,4828032558","1,8770319572","1,2409987414","0,6808121753","1,7225979116","3,5933317693",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0,0,0,0,0,0,"0,0769417672","0,055946954","0,5110302622","0,5201892311","0,6422417815","0,6997406663","0,8263887277","1,0364897966","1,0366173292","0,2749858837","0,1099904308","0,749739151","0,5093167219","0,1890283676","0,6222795422","0,0790622876","0,3286800645","0,2741558007","0,0098725248",0,"0,3133766332","0,088288919","0,7620162562","0,4317164625","0,257423749","0,1457173261","0,096557028","0,064425526","0,3195384934","0,261495922","0,0427976857","0,0203546631","0,1290641081","0,0488756141","0,0097524918","0,0777089965","0,0229950193","0,1769896553","0,4730792561","0,6614532729","0,2722272532","0,7486165891","1,3775065612","2,5542292371","2,6453491829","3,03172475","1,6641087079","3,0924542302","2,7069100695",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,"0,2965379198","0,2216644392","0,3227059491","0,9853442484","0,2672238854","0,2478314746","0,820037256","1,2432656444","1,0830476751","1,6920872348","4,2422169004","3,5769638007","3,2568072611","3,6379531689","4,9669283733","5,1095426313","7,5997888184","6,2277471611","8,5424359269","10,6621317608","14,511687893","20,1090723134","25,8189712678","22,0896021398","16,3934769536","22,430268595","42,0733402411","22,4656117273","26,5609724203","34,7099681702","33,7675790971","27,0466775691","26,8714109201","30,5401722439","40,9525919959","46,527129658","52,8515992643","38,8286606151","29,2169262315","27,5177053035","42,8903425387","62,14145478","65,8024950044","58,6098251564","49,3188301993","50,8435039465","50,2051271035","48,2467524948","39,4085512321","48,5547238726","39,5978367922","38,4605075559","45,5298972391","37,4691342923","36,1606566249",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,15079496","0,1966169454","0,0257234202","0,1675533607","0,1919064412","0,1670106864","0,1320462679","0,29386842","1,0362743169","1,3418032535","3,3081313179","2,7528201825","1,6575984172","3,3254034383","3,3789339947",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2868580283",0,"0,3288631626","0,3045040445","0,0556025304","0,4695913492","1,1125321956","0,6337703611","0,123644949","0,0137119967","0,956896683","0,2572648353","0,0465921282","0,1406662434","0,1992799557","1,482564295","0,9969358375","0,6193201753","1,0245256997","2,195295562","2,5896310379","0,9680505318","2,7169678089","3,0096483983","2,263643224","1,6825185675","2,6656020741","2,7187491016","3,2314767678","3,5994351147",,
Paraguay,PRY,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,,,,,,,,,,,,,,,,,,,,,,"2,4259863434","1,9068316059","3,3201599947","1,0588842975","1,1519960912","1,0208079742","2,7156280941","0,5760351323","1,0327998878","1,5312325436","1,3758316204","0,4537118864","0,6868241179","1,6869967781","0,5057211985","0,3850045799","0,7375887094","0,6088713144","1,9140987146","2,5823488325","0,9087874594","1,6402563334","3,3177943025","3,9776780341","2,3698741606","5,8161214397","7,582270912","8,9923563614","10,6147840651","10,3810771954","8,9804948798","12,3643645869","14,0688800274",,
Paraguay,PRY,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,"86,4630439617","83,2806336995","81,8268742343","80,8678991764","82,8956621326","84,6431750353","88,4020409816","90,5905511811","91,6826144561","88,8856172585","85,0838179952","81,2880752528","80,1214048608","77,7493364418","89,9842740439","88,6888763411","89,5437596929","89,6352416842","89,0736194171","86,7723406238","79,2768015476","75,3032963927","67,2684382239","70,8120658271","70,9143453768","64,2328315624","52,208799818","65,7875214845","57,0304139316","50,6462908774","53,2396722363","63,522896451","62,5828086079","61,6189158551","57,3867872669","50,3481898695","45,9282358449","58,8175321545","66,1143761297","64,795533327","52,3198240107","32,5077395865","29,9266923167","34,0788455936","39,9542794945","39,7596909091","42,4584823577","45,2017279761","52,8350767841","42,2385120392","49,6210214291","50,8970849526","45,0905486432","50,0767071322","49,6910591847",,
Paraguay,PRY,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,28010000,30120000,32850000,39460000,48830000,56190000,48500000,47350000,45850000,50040000,62960000,63950000,84550000,124210000,166510000,176290000,181240000,278890000,256970000,305160000,310000000,296000000,330000000,269000000,335000000,304000000,233000000,353000000,510000000,1009000000,959000000,737000000,657000000,725000000,816000000,919000000,1044000000,1089000000,1014000000,741000000,869000000,2356519000,2328800000,2584532000,2874456000,3152567541,3472364993,4723587272,6407111503,5079610400,6504820000,7763000000,7282790000,9456340000,9635890000,8361165000,
Paraguay,PRY,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,0,0,0,0,0,0,"0,0769417672","0,055946954","0,5110302622","0,5201892311","0,6422417815","0,6997406663","0,8263887277","1,0364897966","1,0366173292","0,2749858837","0,1099904308","0,749739151","0,5093167219","0,1890283676","0,6222795422","0,0790622876","0,3286800645","0,2741558007","0,0706035104",0,"0,3251703775","0,1353066864","0,7620162562","0,5392028828","0,2819806198","0,1493823759","0,1037669964","0,1413456996","0,3932404754","0,2890160835","0,0742975483","0,0289251082","0,1291181637","0,0800802189","0,0482256257","0,1113618597","0,0381613284","0,4422656065","0,8273936567","0,9770376671","0,4139856116","2,1941858013","2,1762370264","3,2166363688","2,4395188989","3,2746825395","2,6276105047","4,1507448036","2,9976637172",,
Paraguay,PRY,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,"0,0044822148","0,0019881798","0,2257290909","0,0611347179","0,0145879988","0,0051818128","0,0021024313","0,0056919065","0,0318526832","0,0220910848","0,0029008216","0,0062184854","0,0055064382","0,0008490883","1,98547724872506E-005",,,"0,003091984",,"0,2511356542","0,0017047552","0,0290434311","0,0089685678","0,0009871602","0,0134819773","0,2049217951","0,1724531399","0,0471439952","0,052533977","0,0633075051","0,1195529441","0,1877038891","0,2386774674","0,2746669081","0,2810775119","0,4526084384","0,4435435578","0,3453310603","0,3591745151","0,3738372561","0,511060979","0,3302757386","0,7480665542","1,2576595184","1,0758522877","0,8047540304","0,6820860399","0,5791376495","0,5628936408","1,0047219054","0,8818650055","0,8325659203","0,8152212193","0,6859727245",
Paraguay,PRY,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,"11,3893855174","10,5544951377","11,2605698749","8,3812608281","9,5999913595","7,6507911675","8,3840208494","9,2043802431","8,9515017916","11,0137351653","10,7525125756","12,663080726","10,2216954349","10,4454550497","13,2087684985","10,9677395181","12,6573630651","11,2998884867","11,7748046583","11,110526608","9,3246827348","7,0127099321","5,675781167","5,4829159954","9,0627881531","10,2612656036","7,8360457848","8,2235166876","9,927456312","11,2851967325","15,2071372302","16,6855203133","21,3203254139","19,2561971046","16,9795653012","15,1683149706","13,5735281025","15,2200567899","18,8768983726","16,3125765684","14,8411098902","12,6837000643","12,5094789487","13,757415766","15,8698123218","12,9858748572","9,2874988726","10,7301692784","7,4386079812","7,6161678532","8,8332223533","8,1387567752","9,4932954773","10,0838910042",
Paraguay,PRY,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,"1,9933554817","1,9607843137","0,3424657534","0,136425648","0,2427184466","0,1897533207",,,"0,0747384155",,,,,"0,0699545296","0,0781453504",,,,,"3,28307393","11,1154446178","12,8397006696","17,3186479301","21,2006717045","13,3040131941","14,9762831104","13,4547091482","13,5155802787","10,7791221613","13,063196293","11,3107211039","11,0266115091","7,9058540092","5,8683963418","6,0054286922","4,7804503351","4,5203354378","3,4027412088","3,0047111086","3,6902566036","3,6684418859",
Paraguay,PRY,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1843663051","0,0690422728","0,1666673101","0,1076111487","0,1023379983","0,1682666199","0,3750573207","0,1487440824","0,2059150864","0,1334613058","0,0801833026","0,0729882964","0,0902879272","0,0489591893","0,1375445706",,
Paraguay,PRY,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,"0,172243458","0,446976893",,,,"0,2079018845",,"1,1757102722","1,2378374707","1,1286015234","0,5142491164","0,4323213598","0,357056977",,"0,0013710465",,,,,,"0,0023340495",,,,"0,0959894235","0,4613664066","0,2189427807","0,2552731598","0,202399545","0,6180532472","0,0582417722","0,0083635517","0,1421946898","0,1216234056","0,036805512","0,3100784219","0,0910979539","0,0288796725","0,0023729521","1,68181738458249E-006","0,0009752277","0,0002314202","0,0085621946","30,5513629785","29,402077471","31,1548504644","24,0537426857","22,7485139749","25,5057784468",
Paraguay,PRY,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,"54,991464954","63,4845396749","61,5874660935","62,3246780868","57,6756865985","66,5051143249","66,8353321148","58,0471051109","62,9521769435","70,9530755841","71,8688659226","68,6311562138","63,9370666721","61,2462435598","60,8282777935","53,7776809979","41,8957725721","45,8682682305","37,8205965467","35,5158744445","44,1128896763","53,6366166909","49,1096397491","45,0213043645","49,2764160402","54,4711455221","48,3026901262","59,0359301292","52,3830680518","40,8417202257","47,0896690672","54,9317828926","53,0332906168","43,8949130449","57,6216060546","71,5170583239","73,1816664328","70,1642449684","64,8839534669","68,8011427081","75,1373655095","78,5310740437","75,5381539968","76,0203236351","75,9863675724","80,922586165","86,7666142316","84,7809377924","59,3797815897","60,3084105122","56,8004600903","65,2793870824","65,3489233762","62,1546408765",
Paraguay,PRY,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,"33,6146643237","25,9587331507","26,8628884615","29,2329298606","32,7097320169","25,6666713096","24,3315719164","32,7428247029","28,0618173142","18,0041911539","17,1672896858","18,6971440565","24,6585542915","27,0637097038","24,834334536","34,739452249","45,0145426138","42,4704710941","50,404601696","53,1210912317","46,5607261692","39,3216345928","45,2056135055","49,4947898475","41,6473121091","35,0603350106","43,6888085954","32,6934111693","37,6369447885","47,7137833996","37,1083120643","27,9748794415","25,1524353009","36,371826987","24,4997008573","12,8037739533","12,792899933","14,1255652006","15,4927114856","14,4355703915","9,0063076131","8,3596264019","11,1736265097","8,9622281285","7,0679660821","5,2086366411","3,2635694805","3,9011931483","2,0663095492","1,6660327053","2,1540430637","1,6912577675","1,5900561944","1,5696476984",
Paraguay,PRY,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,"39,6498573663","35,0477042479","43,6058656969","39,6961631663","38,0956242307","56,3837097813","57,1538074475","58,0689899959","77,1665665729","118,0671495616","119,8634127654","95,2652241659","88,8489977752","92,6886189585","87,8111860567","96,1208663426","109,1189338866","113,8350468892","107,0069050057","84,3798146264",100,"113,9303927708","116,6055640366","119,7131014501","121,0383292189","134,0901643622","144,7962405758","179,0651151605","205,8351921016","185,4404559228","226,1623989294","240,9887817402","221,6484148436","291,8858737089","300,7362182939","280,5661098734",
Paraguay,PRY,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,"68,1818181818","71,8518518519","74,358974359","69,0265486726","93,5185185185",62,"58,024691358","87,5",100,"120,987654321","103,3707865169","103,488372093","94,4444444444","103,4482758621","125,8823529412","118,2795698925","118,2795698925","118,2795698925",109,"104,1237113402",100,"100,1969489134","96,6504880996","101,4364969411","104,2803371086","97,3936233324","95,5207145475","100,0694601096","107,3470681298","104,9617914264","104,9616453641","107,4561481152","108,5200319497","107,8636939709","108,4116819789","112,7913851526",
Paraguay,PRY,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,"22,6923076923","23,8888888889","23,8095238095","21,1891891892","21,0174029451","21,7747010699","19,3187595323","17,3716632444","29,5378432686","21,790457452","27,1878646441","22,356776898","22,3678462211","22,0930232558","27,4926686217","19,7506925208","19,3196572319","19,7136282281","18,0090143053","19,7467909267","19,7276898032","22,2186598269","22,1092757306","25,961012935","23,5484567235","20,6503356737","19,8626926576","20,1811447602","21,0148376062","24,5998608212","23,8754973354","25,2364910839","24,5585819229","22,4439381882","25,3485610069","20,7129457746","20,1119386568","22,816900077","23,1930715558","23,5533179765","26,2325601508",
Paraguay,PRY,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,"55,5769230769","52,5925925926","57,1428571429","63,3513513514","57,3627844712","60,2265575834","55,058464667","39,9178644764","47,2873409243","44,3679291687","59,276546091","64,555193293","64,4386194845","65,2288072018","60,9604105572","61,6066481994","60,763438068","66,9649705958","66,059180874","68,4719535783","66,4052094125","62,3917922411","63,1035578145","59,1000182183","59,5510468379","60,6595602931","59,031128512","55,8218431946","56,7306378427","57,1329157968","56,8965258029","57,8999490931","60,6475811357","66,2881846623","61,6724322968","69,1999210571","69,0609606881","65,4204804008","63,0142092238","64,8370691513","62,3415249831",
Paraguay,PRY,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,52000000,54000000,69300000,92500000,149400000,158900000,196700000,243500000,149300000,203300000,171400000,214700000,228900000,266600000,272800000,361000000,385100000,391100000,510300000,568700000,675700000,623800000,629600000,548900000,463300000,390260000,362690000,321290000,318346500,287400000,"329207802,023238","365343976,282048","443022322,467948","568527675,179518","515216623,004168","700045283,650293","863666118,738396","906345731,902151","1047726686,02723","1084730398,72846","1071336531,33582",
Paraguay,PRY,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,"13,8461538462","16,4814814815","11,1111111111","7,4594594595","15,2610441767","9,8174952801","19,013726487","38,3572895277","18,553248493","28,627643876","4,4924154026","2,9809035864","0,3931847969","0,7876969242","0,4765395894","7,2576177285","8,9846793041","6,3410892355","7,6425631981","0,7912783541","1,420748853","1,5229240141","1,9695044473","1,3299325925","2,4390243902","4,176702711","5,5419228542","7,2520153133","8,0729645214","2,7835768963","2,5819558187","3,2298329153","2,8666727061","2,0403580171","2,1738429041","2,114148948","1,3894258139","1,3239980702","4,4668137811","2,7610547317","2,6135578486",
Paraguay,PRY,Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,"28,0302503666","27,3435160726","30,6412998801","24,8920661625","26,72062162","22,8697111865","26,3603825149","27,1460685631","26,1693189895","34,6417779421","61,6528708405","66,5899705756","64,8252549595","77,0090886922","97,6038215302","139,1014334187","141,7560409267","150,5760770168","128,1595122079","84,3214498263",100,"96,5392263739","73,975062556","98,5540734725","137,0219908708","164,3612184306","209,8826934384","259,2410496513","399,6596108286","307,0426112912","443,9152362462","547,1202263162","511,2391796909","537,2058424388","538,3790904704","455,3188549356",
